start_time,guitar,classical,slow,techno,strings,drums,electronic,rock,fast,piano,ambient,beat,violin,vocal,synth,female,indian,opera,male,singing,vocals,no vocals,harpsichord,loud,quiet,flute,woman,male vocal,no vocal,pop,soft,sitar,solo,man,classic,choir,voice,new age,dance,male voice,female vocal,beats,harp,cello,no voice,weird,country,metal,female voice,choral
76.5,0.107668854,0.99993014,0.14512365,0.00025167174,0.9572825,0.061274827,0.00033755804,0.0017120505,0.434805,0.99724436,0.001042599,0.0038457245,0.97661644,0.012014117,0.00047323183,0.068816766,0.004733322,0.7466316,0.0021381767,0.012907538,0.009036922,0.08848259,0.98028815,0.0033575497,0.17129909,0.64269406,0.037698623,0.001100047,0.07878084,0.006226241,0.1590793,0.004713754,0.50961316,0.0015806358,0.99899036,0.4703928,0.002039641,0.0019750174,0.002313982,0.0009526218,0.0343754,0.0030166367,0.668046,0.92779815,0.04118246,0.00073682086,0.05826273,0.0021859892,0.015416097,0.32315361
79.5,0.01933559,0.9997974,0.10133588,0.0038364448,0.93569076,0.12848367,0.0044165477,0.0004265991,0.2598145,0.9971072,0.0031517565,0.017777167,0.9749834,0.07533745,0.004736423,0.30050486,0.0869934,0.96046424,0.008731387,0.073923126,0.05159483,0.06462147,0.9384257,0.0057558184,0.076464534,0.2566631,0.18535843,0.0047023674,0.050998397,0.011780751,0.08307173,0.06347856,0.24169545,0.009022406,0.9971432,0.8671532,0.01652999,0.007975935,0.018483594,0.0047358293,0.13061029,0.013874707,0.7205364,0.8501141,0.030862499,0.0063925358,0.01655858,0.000794479,0.070452504,0.79839647
82.5,0.008461326,0.99997866,0.032496516,0.0032797656,0.9821774,0.009287749,0.003102107,0.0001592819,0.60890067,0.99581087,0.000368758,0.0028291645,0.99489814,0.0018903939,0.0030922163,0.009548903,0.001635912,0.6768089,0.0009255127,0.0022373132,0.0018443501,0.13935716,0.9760066,0.0022876628,0.03061897,0.4152486,0.0041563604,0.0004949237,0.11670077,0.0014143558,0.033991925,0.0018254075,0.41980693,0.0007595439,0.9996871,0.14296935,0.00061710185,0.0014028803,0.017970417,0.0006006251,0.0032597447,0.0026594894,0.55743223,0.9490608,0.060948726,0.0020286196,0.04754842,0.00029331268,0.0016559976,0.1104043
85.5,0.0466585,0.99930835,0.1180593,0.0005672624,0.9260748,0.0961351,0.00082530704,0.0020806151,0.40866423,0.9992077,0.00087146024,0.006075621,0.97527,0.019769823,0.0014344286,0.071571775,0.044020135,0.24549192,0.0031882839,0.020011308,0.014869269,0.079904646,0.85853744,0.017209744,0.025089273,0.2843799,0.042171836,0.002348718,0.06390019,0.016273567,0.049819574,0.045592375,0.38079944,0.0033131985,0.9912282,0.13643739,0.0037708518,0.0036004027,0.008062304,0.0019954722,0.03501376,0.00501196,0.31933117,0.8976084,0.028469844,0.0015766803,0.069021076,0.00085450104,0.014033285,0.085461825
88.5,0.106597774,0.99894124,0.10590737,0.0008272463,0.9412794,0.20254512,0.0011096833,0.00813239,0.44907558,0.9931837,0.0022804108,0.01366346,0.96881926,0.009807686,0.001597208,0.01887656,0.044477798,0.08640036,0.004400303,0.008816725,0.010691336,0.10481462,0.8785524,0.04014583,0.02522115,0.4471879,0.011653707,0.003964011,0.09245416,0.009936334,0.037183605,0.04703062,0.3228665,0.004290778,0.9875402,0.06917018,0.0029161796,0.0047579105,0.0042727864,0.002579343,0.010097032,0.008293523,0.29664722,0.92810714,0.044609714,0.0029946934,0.09014589,0.0038527362,0.0047143693,0.04102834
91.5,0.3462225,0.9852513,0.11837883,0.0012201024,0.7369372,0.17788333,0.0038034837,0.03412147,0.27011293,0.9977264,0.0051016696,0.015134948,0.8641825,0.097333364,0.00749438,0.29262897,0.02969535,0.059468046,0.009404589,0.11003192,0.084510565,0.06371935,0.44509256,0.07069392,0.010711777,0.399231,0.21895522,0.008911257,0.050532147,0.2711191,0.057530355,0.013499634,0.07474664,0.014376955,0.8647049,0.056564923,0.017945036,0.015658032,0.0054801265,0.005965837,0.20301409,0.004110997,0.14411564,0.2595277,0.019341866,0.003227656,0.42037976,0.0022103186,0.069194406,0.025948884
94.5,0.077374496,0.9697291,0.023340167,0.016848404,0.84644103,0.050253015,0.015258282,0.03729558,0.66576666,0.9262646,0.00445832,0.010732873,0.94059765,0.032744855,0.018918501,0.12021469,0.058979873,0.067024805,0.0058367527,0.028291943,0.031774014,0.07480611,0.64046824,0.18976852,0.0040025017,0.10244275,0.08694947,0.0051688147,0.05982804,0.057591345,0.009360537,0.027077716,0.026353613,0.0061168154,0.8099749,0.035393536,0.009693772,0.009762464,0.023036174,0.00423803,0.059457388,0.004354852,0.03916674,0.39749345,0.026825368,0.014512702,0.17657006,0.0076309717,0.031083135,0.025811879
97.5,0.04681535,0.9233508,0.032791674,0.015665589,0.72418195,0.20156357,0.016151736,0.10870317,0.68410254,0.9770438,0.020904262,0.028925998,0.95939505,0.354436,0.023861647,0.72756296,0.72474086,0.15668441,0.047984798,0.3157671,0.28110808,0.05620018,0.82588524,0.7546562,0.0044956044,0.40389514,0.707145,0.048977505,0.041897886,0.29502138,0.012360584,0.49170458,0.029184263,0.047410708,0.68606305,0.35358125,0.092250265,0.05412674,0.06756712,0.025750598,0.6303823,0.011225893,0.060386322,0.64839965,0.020483496,0.024096143,0.060368225,0.03372931,0.38405263,0.267443
100.5,0.05027978,0.20508729,0.033144604,0.47792393,0.099622816,0.42484492,0.41449803,0.9150868,0.5589623,0.6535336,0.18616872,0.19989742,0.45824924,0.8760671,0.40068567,0.86296016,0.2650826,0.12463618,0.7663937,0.8508383,0.86966383,0.04385144,0.29446086,0.98026514,0.0024321782,0.39538744,0.8311045,0.757847,0.033391215,0.9236845,0.008285817,0.049768012,0.0036785896,0.6945282,0.077615604,0.39270204,0.6552815,0.1305446,0.26476526,0.5790378,0.83010733,0.03483741,0.0038605162,0.0986602,0.014280745,0.17253214,0.08869081,0.42366275,0.71521926,0.32190213
103.5,0.10558904,0.4256516,0.027065407,0.04330402,0.27308747,0.33063838,0.056488145,0.8093699,0.40095887,0.4657082,0.07109007,0.06641083,0.7973736,0.9870746,0.07784132,0.98928785,0.7290547,0.8320877,0.927068,0.9879061,0.9824613,0.020151498,0.49449003,0.9732519,0.0021747882,0.69042087,0.9863106,0.89520264,0.016234614,0.96679336,0.008190373,0.21084453,0.0026750586,0.9026665,0.18648244,0.9332071,0.88503176,0.072189614,0.09907828,0.77756196,0.97911626,0.011439193,0.0074849576,0.15038428,0.008286628,0.06670668,0.32195935,0.24281062,0.95664895,0.89527094
106.5,0.034329858,0.4008866,0.021255871,0.5120857,0.15489876,0.3713525,0.3686521,0.8958525,0.5534088,0.22952111,0.14254242,0.21422541,0.63168573,0.8986482,0.33574033,0.9422258,0.23411186,0.47717464,0.7907728,0.8987796,0.89361966,0.029243223,0.56976604,0.97944266,0.0033052452,0.6733712,0.923356,0.7268444,0.024511555,0.9287269,0.0072065564,0.021807978,0.0026396334,0.6655088,0.19030398,0.76005894,0.68451744,0.071604796,0.32466796,0.5396525,0.9174017,0.038462557,0.00423487,0.115230806,0.013261371,0.14265753,0.04723423,0.4579505,0.84853506,0.69033796
109.5,0.05108999,0.28510195,0.031053586,0.1365453,0.286671,0.42634854,0.17831145,0.71581674,0.27634826,0.09456848,0.2242092,0.14187129,0.81058437,0.96085477,0.22200613,0.98149616,0.8819006,0.6991981,0.6886879,0.96143633,0.9537486,0.026140995,0.4933542,0.97322494,0.002237754,0.7062014,0.97437704,0.5979922,0.019924825,0.92524666,0.005951892,0.3310397,0.0008834802,0.57212824,0.107880145,0.927229,0.73984796,0.16488919,0.10162189,0.38085967,0.9634332,0.02560365,0.006778211,0.11322735,0.012467095,0.17852269,0.105101995,0.14768347,0.93678874,0.8902897
112.5,0.0654839,0.15105715,0.012226984,0.4246988,0.08206574,0.5848154,0.26512602,0.98218715,0.7757807,0.6061675,0.06303898,0.2242901,0.36151665,0.78793097,0.21820773,0.6538071,0.11626166,0.06993678,0.77366364,0.76687545,0.82428384,0.03833881,0.22288743,0.9921301,0.0012220406,0.069866754,0.5776002,0.72542834,0.027619058,0.92687315,0.0030906997,0.017040411,0.0030037316,0.66372305,0.06567564,0.3856126,0.4481025,0.038471498,0.2544094,0.5414711,0.5440064,0.041844167,0.0023133536,0.049270075,0.013089164,0.13161975,0.11139194,0.80425084,0.4172798,0.34514493
115.5,0.11139904,0.12988642,0.021351146,0.09694613,0.1217651,0.6271825,0.09678754,0.98165154,0.44467175,0.627318,0.062389724,0.12771611,0.5075307,0.9822197,0.11166185,0.93007326,0.6910444,0.43054983,0.9740156,0.98184514,0.981267,0.017464465,0.15708621,0.99520797,0.0010825235,0.13498762,0.8971921,0.96156317,0.012501049,0.9696167,0.0035860226,0.20133035,0.0032254695,0.9574716,0.047852036,0.9176032,0.8614886,0.046919726,0.12124663,0.90123713,0.8642921,0.023279462,0.0032084847,0.07298725,0.0059763743,0.11929103,0.2177051,0.7887446,0.7961091,0.88231444
118.5,0.18730313,0.04766318,0.010944288,0.30784813,0.08698792,0.504652,0.26469398,0.9606887,0.62268853,0.42309746,0.043930013,0.1945351,0.17414883,0.72320175,0.26130116,0.531799,0.33846268,0.013834727,0.68198067,0.7292959,0.76458156,0.03840923,0.097308934,0.98655754,0.0006591599,0.07792047,0.47562274,0.67445374,0.029079156,0.94587576,0.0023531634,0.06748381,0.002252967,0.63337886,0.017623896,0.11363736,0.35301632,0.03725261,0.21162733,0.51144767,0.4415387,0.032104988,0.00133593,0.008694838,0.013016152,0.12667933,0.37239262,0.38886967,0.2603851,0.093794696
121.5,0.04083831,0.0040165186,0.03166517,0.8862856,0.016301468,0.7919277,0.8817755,0.97033197,0.37673482,0.17426488,0.65290886,0.6057189,0.042127848,0.79922795,0.8670265,0.69748807,0.68150866,0.00859713,0.6140031,0.7448767,0.82661647,0.04525578,0.0056326175,0.9892508,0.0024420691,0.13846876,0.63812536,0.6413865,0.034374047,0.95072293,0.0053349477,0.14873423,0.0004460255,0.51139915,0.0014181174,0.21744764,0.5638163,0.37522128,0.4236014,0.4509588,0.649638,0.13625364,0.00044169708,0.003502766,0.015255574,0.58341366,0.017003806,0.42037266,0.5275464,0.16102709
124.5,0.041985303,0.01780222,0.025039962,0.8040362,0.02458501,0.5969896,0.78511864,0.93162274,0.4271053,0.112312354,0.5327169,0.44086787,0.061570723,0.8639211,0.762229,0.8353132,0.5796062,0.054254934,0.71055704,0.84110147,0.8822508,0.032939512,0.03645435,0.98787445,0.0027698812,0.2098158,0.7813093,0.6573592,0.027956864,0.9506466,0.0059732557,0.07865972,0.00053638755,0.57145315,0.006390561,0.5508237,0.56904566,0.28565165,0.4229143,0.480321,0.7918282,0.0752444,0.00083117525,0.0044857753,0.014144266,0.4247904,0.029092371,0.3070679,0.66293126,0.47269735
127.5,0.15684648,0.0100602005,0.037259668,0.712694,0.02258483,0.8527989,0.7107933,0.97988063,0.3502084,0.3042528,0.5788463,0.60770017,0.038848802,0.9765053,0.66981924,0.96251124,0.8891261,0.15902427,0.92574453,0.97116685,0.97614926,0.031030994,0.037615098,0.99448013,0.003511373,0.2537553,0.957678,0.9177341,0.025409458,0.97965884,0.007822514,0.44166544,0.0012429901,0.9031718,0.0041258214,0.7713855,0.88836956,0.3478929,0.37681744,0.8212083,0.9540408,0.13576895,0.0023671528,0.005223821,0.012129102,0.5128892,0.045535766,0.6789504,0.9177826,0.7112224
